번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"299","000895","보해양조우","KOSPI","주권","구형우선주","1994/11/22","2015/07/15","종류주식 상장주식수 미달 2반기 계속",,,"음식료품","500","25510","000890","보해양조"
"300","008705","아남전자우","KOSPI","주권","구형우선주","1989/07/24","2015/07/15","종류주식 상장주식수 미달 2반기 계속",,,"전기전자","500","27690","008700","아남전자"
"301","010520","현대하이스코","KOSPI","주권","보통주","1989/09/29","2015/07/15","해산 사유 발생",,,"철강금속","5000","22807950",,
"302","053595","한국테크놀로지우","KOSDAQ","주권","신형우선주","2003/06/04","2015/07/13","종류주식 상장주식수 미달(5만주 미만) 2반기 계속","2015/07/02","2015/07/10","기계·장비","500","38666","053590","한국테크놀로지"
"303","071930","에이스하이텍","KOSDAQ","주권","보통주","2004/01/16","2015/07/10","감사의견거절(감사범위 제한)","2015/07/01","2015/07/09","반도체","500","42932794",,
"304","033630","SK브로드밴드","KOSDAQ","주권","보통주","1998/11/12","2015/07/01","상장폐지신청('15.6.11)",,,"통신서비스","5000","295959087",,
"305","192520","경남은행","KOSPI","주권","보통주","2014/05/22","2015/06/23","지주회사(최대주주등)의 완전자회사화 등",,,"은행","5000","78420912",,
"306","177350","베셀","KONEX","주권","보통주","2013/07/01","2015/06/19","코스닥시장 이전상장",,,"-","500","3489655","177350","베셀"
"307","066350","티에스엠텍","KOSDAQ","주권","보통주","2003/01/21","2015/05/20","발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지","2015/05/11","2015/05/19","기계·장비","500","10837669",,
"308","039530","씨앤케이인터","KOSDAQ","주권","보통주","2000/03/21","2015/05/19","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정","2015/05/08","2015/05/18","금속","500","56451442",,
"309","039850","태창파로스","KOSDAQ","주권","보통주","2000/07/11","2015/05/19","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정","2015/05/08","2015/05/18","유통","500","29584271",,
"310","090120","잘만테크","KOSDAQ","주권","보통주","2007/05/22","2015/05/13","감사의견 거절(계속기업 존속능력에 대한 불확실성 및 감사범위 제한)","2015/04/30","2015/05/12","IT부품","500","32208457",,
"311","065180","해피드림","KOSDAQ","주권","보통주","2002/06/18","2015/05/04","감사범위제한으로 인한 한정의견","2015/04/22","2015/04/30","유통","500","40870235",,
"312","179280","스탠다드펌","KONEX","주권","보통주","2013/07/01","2015/04/30","감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)","2015/04/21","2015/04/29","-","500","6600000",,
"313","160350","웹솔루스","KONEX","주권","보통주","2013/07/01","2015/04/30","감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)","2015/04/21","2015/04/29","-","500","6014000",,
"314","053330","영진코퍼레이션","KOSDAQ","주권","보통주","2001/11/01","2015/04/23","자본전액잠식","2015/04/14","2015/04/22","기계·장비","500","23344810",,
"315","000800","경남기업","KOSPI","주권","보통주","1973/02/12","2015/04/15","자본전액잠식","2015/04/06","2015/04/14","건설업","5000","35803128",,
"316","000360","삼환기업","KOSPI","주권","보통주","1973/09/03","2015/04/15","자본전액잠식","2015/04/06","2015/04/14","건설업","5000","8868035",,
"317","000365","삼환기업우","KOSPI","주권","구형우선주","1989/10/27","2015/04/15","자본전액잠식","2015/04/06","2015/04/14","건설업","5000","1087434",,
"318","004367","세방2우B","KOSPI","주권","신형우선주","2005/03/31","2015/04/15","존속기간 만료",,,"운수창고업","500","2508690","004360","세방"
"319","014350","신일건업","KOSPI","주권","보통주","1989/11/11","2015/04/15","자본전액잠식","2015/04/06","2015/04/14","건설업","5000","1474575",,
"320","181980","힘스인터내셔널","KONEX","주권","보통주","2013/08/14","2015/04/15","상장폐지 신청('15.03.23)",,,"-","500","1600000",,
"321","004320","울트라건설","KOSDAQ","주권","보통주","1991/12/06","2015/04/13","자본전액잠식","2015/04/02","2015/04/10","건설","5000","6681631",,
"322","004325","울트라건설우","KOSDAQ","주권","신형우선주","2001/01/22","2015/04/13","자본전액잠식","2015/04/02","2015/04/10","건설","5000","1400000",,
"323","101970","우양에이치씨","KOSDAQ","주권","보통주","2012/07/26","2015/03/17","발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래 정지","2015/03/06","2015/03/16","금속","500","25735667",,
"324","082240","아시아5호","KOSPI","선박투자회사","보통주","2005/03/16","2015/03/13","신청에 의한 상장폐지",,,"서비스업","5000","3119040",,
"325","082250","아시아6호","KOSPI","선박투자회사","보통주","2005/03/16","2015/03/13","신청에 의한 상장폐지",,,"서비스업","5000","3119040",,
"326","082260","아시아7호","KOSPI","선박투자회사","보통주","2005/03/16","2015/03/13","신청에 의한 상장폐지",,,"서비스업","5000","3119040",,
"327","149130","케이비부국위탁리츠","KOSPI","부동산투자회사","보통주","2012/06/12","2015/03/02","감사의견 부적정","2015/02/16","2015/02/27","서비스업","5000","3200000",,
"328","000420","로케트전기","KOSPI","주권","보통주","1988/08/05","2015/02/24","감사의견 의견거절","2015/02/10","2015/02/23","전기전자","500","59119277",,
"329","000425","로케트전우","KOSPI","주권","구형우선주","1989/09/23","2015/02/24","감사의견 의견거절","2015/02/10","2015/02/23","전기전자","500","1063770",,
"330","081930","아시아8호","KOSPI","선박투자회사","보통주","2005/02/15","2015/02/17","신청에 의한 상장폐지",,,"서비스업","5000","2431640",,
"331","053740","국제엘렉트릭","KOSDAQ","주권","보통주","2003/03/21","2015/02/10","상장폐지 신청('15.01.15)","2015/01/30","2015/02/09","반도체","500","9852000",,
"332","032420","터보테크","KOSDAQ","주권","보통주","1997/04/22","2015/01/27","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정","2015/01/16","2015/01/26","유통","500","8493635",,
"333","091690","디지텍시스템","KOSDAQ","주권","보통주","2007/07/04","2015/01/21","감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)","2015/01/12","2015/01/20","IT부품","500","15018476",,
"334","016420","NH농협증권","KOSPI","주권","보통주","1988/03/28","2015/01/20","해산 사유 발생",,,"증권","5000","120125029",,
"335","081210","아시아4호","KOSPI","선박투자회사","보통주","2005/01/28","2015/01/20","존속기간 만료",,,"서비스업","5000","1320900",,
"336","003640","유니온스틸","KOSPI","주권","보통주","1973/06/30","2015/01/16","해산 사유 발생",,,"철강금속","5000","10355482",,
"337","090540","코크렙8호","KOSPI","부동산투자회사","보통주","2006/06/15","2015/01/16","해산 사유 발생",,,"서비스업","5000","9200000",,
"338","012335","현대모비스우","KOSPI","주권","구형우선주","1994/11/21","2015/01/16","종류주식 상장주식수 미달 2반기 계속 및 종류주식 거래량요건 미충족(월평균거래량 1만주 미만) 2반기 계속",,,"운수장비","5000","3974","012330","현대모비스"
"339","003457","현대증권2우B","KOSPI","주권","신형우선주","2012/01/11","2015/01/13","존속기간 만료",,,"증권","5000","66612530",,
"340","081940","아시아9호","KOSPI","선박투자회사","보통주","2005/03/16","2015/01/08","존속기간 만료",,,"서비스업","5000","2671730",,
"341","950100","SBI모기지","KOSPI","주식예탁증권","보통주","2012/04/30","2015/01/07","신청에 의한 상장폐지","2014/12/24","2015/01/06","기타금융","무액면","23741000",,
"342","008720","삼양엔텍","KOSPI","주권","보통주","1976/06/26","2014/12/30","해산 사유 발생",,,"기계","5000","1235520",,
"343","124500","아이티센","KONEX","주권","보통주","2013/07/01","2014/12/23","코스닥시장 이전상장",,,"-","500","3261520","124500","아이티센"
"344","081200","아시아3호","KOSPI","선박투자회사","보통주","2005/01/04","2014/12/22","존속기간 만료",,,"서비스업","5000","1879635",,
"345","081190","아시아2호","KOSPI","선박투자회사","보통주","2004/12/27","2014/12/18","존속기간 만료",,,"서비스업","5000","1879635",,
"346","149980","하이로닉","KONEX","주권","보통주","2013/07/01","2014/12/17","코스닥시장 이전상장",,,"-","500","2197229","149980","하이로닉"
"347","084650","랩지노믹스","KONEX","주권","보통주","2013/07/01","2014/12/16","코스닥시장 상장",,,"-","500","3703776","084650","랩지노믹스"
"348","053000","우리금융","KOSPI","주권","보통주","2002/06/24","2014/11/19","해산 사유 발생",,,"기타금융","5000","676278371",,
"349","187770","판타지오","KONEX","주권","보통주","2013/12/12","2014/11/10","피흡수합병",,,"-","500","2606839",,
"350","182690","테라셈","KONEX","주권","보통주","2013/10/11","2014/10/30","코스닥시장 상장",,,"-","500","12112340","182690","테라셈"
"351","139170","퓨얼셀","KONEX","주권","보통주","2013/07/01","2014/10/30","피흡수합병",,,"-","500","3333330",,
"352","119250","에프지엔개발리츠","KOSPI","부동산투자회사","보통주","2010/05/03","2014/10/29","기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2014/10/20","2014/10/28","서비스업","500","53624900",,
"353","041920","메디아나","KONEX","주권","보통주","2013/07/01","2014/10/07","코스닥시장 상장",,,"-","500","5737580","041920","메디아나"
"354","013340","AJS","KOSDAQ","주권","보통주","1989/09/06","2014/09/02","감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)","2014/08/22","2014/09/01","금속","500","40247452",,
"355","046400","디브이에스","KOSDAQ","주권","보통주","2002/10/01","2014/09/02","감사의견거절(감사범위제한)","2014/08/22","2014/09/01","정보기기","500","18534414",,
"356","110500","유니드코리아","KOSDAQ","주권","보통주","2011/06/17","2014/09/02","감사의견 거절(계속기업 존속능력에 대한 불확실성)","2014/08/22","2014/09/01","기계·장비","500","9027000",,
"357","002797","아모레G2우B","KOSPI","주권","신형우선주","2006/12/27","2014/08/19","종류주식 거래량요건 미충족(월평균거래량 1만주 미만) 2반기 계속",,,"서비스업","5000","266720","002790","아모레퍼시픽그룹"
"358","059120","아진엑스텍","KONEX","주권","보통주","2013/07/01","2014/07/24","코스닥시장 상장",,,"-","500","4600000","059120","아진엑스텍"
"359","070480","에버테크노","KOSDAQ","주권","보통주","2007/05/22","2014/07/17","감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성","2014/07/08","2014/07/16","기계·장비","500","2625317",,
"360","000685","LS네트웍스우","KOSPI","주권","구형우선주","1994/09/22","2014/07/15","종류주식 상장주식수 미달 2반기 계속",,,"유통업","5000","15284","000680","LS네트웍스"
"361","002365","SH에너지화학우","KOSPI","주권","구형우선주","1990/02/21","2014/07/15","종류주식 상장주식수 미달 2반기 계속",,,"화학","500","6220","002360","SH에너지화학"
"362","006375","대구백화우","KOSPI","주권","구형우선주","1995/01/21","2014/07/15","종류주식 상장주식수 미달 2반기 계속",,,"유통업","5000","4282","006370","대구백화점"
"363","008975","동양철관우","KOSPI","주권","구형우선주","1994/11/22","2014/07/15","종류주식 상장주식수 미달 2반기 계속",,,"철강금속","500","23190","008970","동양철관"
"364","003965","사조대림우","KOSPI","주권","구형우선주","1995/02/21","2014/07/15","종류주식 상장주식수 미달 2반기 계속",,,"음식료품","5000","3780","003960","사조대림"
"365","013005","세우글로벌우","KOSPI","주권","구형우선주","1995/02/21","2014/07/15","종류주식 상장주식수 미달 2반기 계속",,,"유통업","500","4634","013000","세우글로벌"
"366","001300","제일모직","KOSPI","주권","보통주","1975/05/15","2014/07/15","해산 사유 발생",,,"화학","5000","52437651",,
"367","007195","한솔아트원제지우","KOSPI","주권","구형우선주","1988/08/20","2014/07/15","종류주식 상장주식수 미달 2반기 계속",,,"종이목재","1000","22505",,
"368","004965","한신공영우","KOSPI","주권","구형우선주","1989/12/22","2014/07/15","종류주식 상장주식수 미달 2반기 계속",,,"건설업","5000","3572","004960","한신공영"
"369","080180","아시아1호","KOSPI","선박투자회사","보통주","2004/10/15","2014/07/10","신청에 의한 상장폐지",,,"서비스업","5000","4564950",,
"370","082930","실리콘화일","KOSDAQ","주권","보통주","2008/04/25","2014/05/23","상장폐지신청('14.04.22)",,,"반도체","500","8444276",,
"371","056340","CU전자","KOSDAQ","주권","보통주","2002/11/08","2014/05/21","최종부도 발생","2014/05/12","2014/05/20","IT부품","500","52536146",,
"372","101990","파브코","KOSPI","주권","보통주","2008/06/09","2014/05/21","해산 사유 발생",,,"운수장비","500","21000000",,
"373","041060","아라온테크","KOSDAQ","주권","보통주","2000/06/07","2014/05/08","감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)","2014/04/24","2014/05/07","기계·장비","500","22527322",,
"374","080980","동북아5호","KOSPI","선박투자회사","보통주","2004/12/29","2014/04/25","신청에 의한 상장폐지",,,"서비스업","5000","4102600",,
"375","005900","동양건설","KOSPI","주권","보통주","1974/08/26","2014/04/25","자본전액잠식","2014/04/16","2014/04/24","건설업","5000","12449333",,
"376","002530","벽산건설","KOSPI","주권","보통주","1975/06/30","2014/04/25","공시서류 미제출(사업보고서) 후 10일이내 미제출","2014/04/16","2014/04/24","건설업","5000","13627816",,
"377","002535","벽산건설우","KOSPI","주권","구형우선주","1989/12/23","2014/04/25","공시서류 미제출(사업보고서) 후 10일이내 미제출","2014/04/16","2014/04/24","건설업","5000","3192",,
"378","067250","STX조선해양","KOSPI","주권","보통주","2003/10/27","2014/04/15","자본전액잠식","2014/04/04","2014/04/14","운수장비","2500","696775595",,
"379","010460","화인자산관리","KOSPI","주권","보통주","1988/09/15","2014/04/15","보통주 주식분포요건 미충족 2년 계속","2014/04/04","2014/04/14","기타금융","5000","9523214",,
"380","010670","나노트로닉스","KOSDAQ","주권","보통주","1996/05/14","2014/04/11","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당","2014/04/02","2014/04/10","의료·정밀기기","500","18461530",,
"381","110310","모린스","KOSDAQ","주권","보통주","2009/09/25","2014/04/11","자본전액잠식 등","2014/04/02","2014/04/10","IT부품","500","14122162",,
"382","012650","쌍용건설","KOSDAQ","주권","보통주","1993/01/28","2014/04/11","자본전액잠식 등","2014/04/02","2014/04/10","건설","5000","14609060",,
"383","036210","태산엘시디","KOSDAQ","주권","보통주","1999/11/16","2014/04/11","자본전액잠식등","2014/04/02","2014/04/10","IT부품","500","21405999",,
"384","005560","JS전선","KOSPI","주권","보통주","2007/11/12","2014/04/10","신청에 의한 상장폐지","2014/04/01","2014/04/09","전기전자","5000","11378640",,
"385","074000","엠텍비젼","KOSDAQ","주권","보통주","2004/01/06","2014/03/27","최근 5사업연도 연속 영업손실 발생 등","2014/03/18","2014/03/26","반도체","500","7596566",,
"386","004790","렉스엘이앤지","KOSDAQ","주권","보통주","1995/12/23","2014/03/04","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정","2014/02/21","2014/03/03","통신장비","500","2577029",,
"387","081220","세미텍","KOSDAQ","주권","보통주","2008/05/23","2014/03/03","피흡수합병",,,"반도체","500","10295703",,
"388","080970","동북아4호","KOSPI","선박투자회사","보통주","2004/12/29","2014/02/18","신청에 의한 상장폐지",,,"서비스업","5000","4102600",,
"389","080960","동북아3호","KOSPI","선박투자회사","보통주","2004/12/29","2014/02/11","신청에 의한 상장폐지",,,"서비스업","5000","4102600",,
"390","053320","테라리소스","KOSDAQ","주권","보통주","2002/01/04","2014/02/07","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당","2014/01/27","2014/02/06","유통","100","241135466",,
"391","003417","쌍용양회2우B","KOSPI","주권","신형우선주","1998/04/16","2014/01/14","종류주식 시가총액 미달",,,"비금속광물","5000","15124","003410","쌍용양회공업"
"392","012805","대창우","KOSPI","주권","구형우선주","1995/01/21","2014/01/13","종류주식 시가총액 미달",,,"철강금속","500","2140","012800","대창"
"393","00341A","쌍용양회4우B","KOSPI","주권","신형우선주","2000/01/12","2014/01/13","기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",,,"비금속광물","5000","1250000","003410","쌍용양회공업"
"394","00341D","쌍용양회5우B","KOSPI","주권","신형우선주","2000/11/15","2014/01/13","기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",,,"비금속광물","5000","3910050","003410","쌍용양회공업"
"395","028305","에이치엘비우","KOSDAQ","주권","신형우선주","2002/10/10","2014/01/07","종류주식 시가총액 미달","2013/12/24","2014/01/06","일반전기전자","500","3333","028300","에이치엘비"
"396","017555","수산중공우","KOSPI","주권","구형우선주","1992/02/21","2014/01/02","종류주식 시가총액 미달",,,"기계","500","1020","017550","수산중공업"
"397","007595","동방아그우","KOSPI","주권","구형우선주","1995/03/21","2013/12/12","종류주식 시가총액 미달",,,"화학","500","250","007590","동방아그로"
"398","009815","고려포리머우","KOSPI","주권","구형우선주","1990/01/22","2013/12/10","종류주식 시가총액 미달",,,"유통업","500","173","009810","엔케이물산"
"399","001385","SG충남방적우","KOSPI","주권","구형우선주","1995/03/21","2013/12/09","종류주식 시가총액 미달",,,"섬유의복","500","110","001380","SG충방"
"400","900060","중국식품포장","KOSDAQ","외국주권","보통주","2009/03/27","2013/10/11","상장폐지신청('13.09.06)","2013/09/30","2013/10/10","기타서비스","2","23615669",,
"401","950070","중국고섬","KOSPI","주식예탁증권","보통주","2011/01/25","2013/10/04","감사의견 의견거절","2013/09/24","2013/10/02","서비스업","무액면","30000000",,
"402","008080","에스와이코퍼레이션","KOSPI","주권","보통주","1987/12/21","2013/09/25","신청에 의한 상장폐지","2013/09/11","2013/09/24","의료정밀","500","100000",,
"403","049000","예당","KOSDAQ","주권","보통주","2001/01/03","2013/09/10","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당","2013/08/30","2013/09/09","오락·문화","100","91794837",,
"404","056810","위다스","KOSDAQ","주권","보통주","2002/01/15","2013/09/10","의견거절(감사범위 제한)","2013/08/30","2013/09/09","통신장비","500","7131053",,
"405","080030","동북아2호","KOSPI","선박투자회사","보통주","2004/10/22","2013/08/19","신청에 의한 상장폐지",,,"서비스업","5000","3162200",,
"406","035450","지아이바이오","KOSDAQ","주권","보통주","1999/11/11","2013/08/07","감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)","2013/07/29","2013/08/06","컴퓨터서비스","500","25902663",,
"407","126680","IBKS스팩1호","KOSDAQ","주권","보통주","2010/12/22","2013/07/29","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2013/07/18","2013/07/26","금융","500","20880000",,
"408","037630","에스비엠","KOSDAQ","주권","보통주","1999/12/24","2013/07/24","감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)","2013/07/15","2013/07/23","정보기기","500","14840339",,
"409","006350","전북은행","KOSPI","주권","보통주","1972/03/22","2013/07/18","지주회사의 완전자회사화(지주회사 신규상장)",,,"은행","5000","66824362",,
"410","128910","동부티에스블랙펄스팩","KOSDAQ","주권","보통주","2010/12/08","2013/07/15","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2013/07/04","2013/07/12","금융","100","12300000",,
"411","073930","제너시스템즈","KOSDAQ","주권","보통주","2008/03/26","2013/07/12","자본전액잠식","2013/07/03","2013/07/11","소프트웨어","500","12770974",,
"412","025920","우경","KOSDAQ","주권","보통주","1995/08/07","2013/07/10","감사의견거절(감사범위 제한)","2013/07/01","2013/07/09","금속","500","20052060",,
"413","036585","팜스코우B","KOSPI","주권","신형우선주","1999/10/25","2013/06/14","존속기간 만료",,,"음식료품","500","1121763","036580","팜스코"
"414","900010","3노드디지탈","KOSDAQ","외국주권","보통주","2007/08/17","2013/06/05","상장폐지 신청('13.05.08)","2013/05/27","2013/06/04","기타서비스","0.1","60190178",,
"415","012410","글로스텍","KOSPI","주권","보통주","1989/09/29","2013/06/04","감사의견 의견거절","2013/05/24","2013/06/03","유통업","500","15360536",,
"416","123300","부국퓨쳐스타즈스팩","KOSDAQ","주권","보통주","2010/10/29","2013/06/03","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2013/05/23","2013/05/31","금융","500","6670000",,
"417","013365","일성건설우B","KOSPI","주권","신형우선주","2003/01/07","2013/05/15","존속기간 만료",,,"건설업","5000","581676","013360","일성건설"
"418","033550","룩손에너지","KOSDAQ","주권","보통주","1998/01/13","2013/05/07","감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)","2013/04/25","2013/05/06","유통","500","17310645",,
"419","036920","지앤에스티","KOSDAQ","주권","보통주","1999/12/21","2013/05/07","감사의견거절(감사범위 제한)","2013/04/25","2013/05/06","유통","500","13322977",,
"420","088700","마이스코","KOSDAQ","주권","보통주","2008/01/25","2013/05/04","감사의견거절(계속기업으로서의 존속능력에 대한 불확실성)","2013/04/24","2013/05/03","금속","500","12583608",,
"421","028090","네오퍼플","KOSDAQ","주권","보통주","1996/11/29","2013/05/03","감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)","2013/04/23","2013/05/02","유통","500","21896328",,
"422","003190","알앤엘바이오","KOSPI","주권","보통주","1976/06/30","2013/05/03","감사의견 의견거절","2013/04/23","2013/05/02","의약품","500","102002775",,
"423","051710","디에스","KOSDAQ","주권","보통주","2004/06/18","2013/05/01","감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)","2013/04/22","2013/04/30","IT부품","500","22216600",,
"424","009010","에듀언스","KOSDAQ","주권","보통주","1993/12/29","2013/05/01","감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)","2013/04/22","2013/04/30","기타서비스","500","2416942",,
"425","038720","유일엔시스","KOSDAQ","주권","보통주","2001/01/18","2013/05/01","감사의견 부적정","2013/04/22","2013/04/30","IT부품","500","19538631",,
"426","046840","자유투어","KOSDAQ","주권","보통주","2001/07/10","2013/05/01","감사의견거절(감사범위 제한) ","2013/04/22","2013/04/30","기타서비스","500","66759374",,
"427","004940","외환은행","KOSPI","주권","보통주","1994/04/04","2013/04/26","신청에 의한 상장폐지",,,"은행","5000","644906826",,
"428","013780","아큐텍","KOSDAQ","주권","보통주","1997/08/18","2013/04/23","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정","2013/04/12","2013/04/22","반도체","500","12073964",,
"429","071530","유에이블","KOSDAQ","주권","보통주","2004/02/17","2013/04/23","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정","2013/04/12","2013/04/22","유통","500","23975047",,
"430","009280","다함이텍","KOSPI","주권","보통주","1988/09/27","2013/04/16","매출액 미달(50억원 미만) 2년 계속","2013/04/05","2013/04/15","서비스업","5000","3986493",,
"431","006440","한일건설","KOSPI","주권","보통주","1993/01/30","2013/04/16","자본전액잠식","2013/04/05","2013/04/15","건설업","5000","34422966",,
"432","026250","삼우이엠씨","KOSDAQ","주권","보통주","1995/11/04","2013/04/12","자본전액잠식","2013/04/03","2013/04/11","금속","500","33715545",,
"433","052650","이디디컴퍼니","KOSDAQ","주권","보통주","2001/12/18","2013/04/12","반기 재무제표에 대한 검토의견거절로 관리종목 지정후 자본잠식률 50% 이상","2013/04/03","2013/04/11","통신장비","500","12472000",,
"434","066060","휴먼텍코리아","KOSDAQ","주권","보통주","2002/08/16","2013/04/12","자본전액잠식","2013/04/03","2013/04/11","기타서비스","500","30000000",,
"435","093400","코리아05호","KOSPI","선박투자회사","보통주","2007/01/22","2013/04/10","감사의견 의견거절","2013/04/01","2013/04/09","서비스업","5000","1502368",,
"436","093410","코리아06호","KOSPI","선박투자회사","보통주","2007/01/22","2013/04/10","감사의견 의견거절","2013/04/01","2013/04/09","서비스업","5000","3331448",,
"437","099210","코리아07호","KOSPI","선박투자회사","보통주","2008/01/07","2013/04/10","감사의견 의견거절","2013/04/01","2013/04/09","서비스업","5000","5042916",,
"438","068420","엔터기술","KOSDAQ","주권","보통주","2003/07/01","2013/04/06","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정","2013/03/28","2013/04/05","일반전기전자","500","16297923",,
"439","123550","대신증권그로쓰스팩","KOSDAQ","주권","보통주","2010/08/24","2013/03/29","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2013/03/20","2013/03/28","금융","1000","10960000",,
"440","123910","에스비아이앤솔로몬스팩","KOSDAQ","주권","보통주","2010/08/24","2013/03/29","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2013/03/20","2013/03/28","금융","500","17000000",,
"441","123290","한국스팩1호","KOSDAQ","주권","보통주","2010/08/24","2013/03/29","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2013/03/20","2013/03/28","금융","200","11290000",,
"442","016570","태평양제약","KOSPI","주권","보통주","1988/09/22","2013/03/15","신청에 의한 상장폐지",,,"의약품","5000","2108947",,
"443","016575","태평양제우","KOSPI","주권","구형우선주","1989/10/13","2013/03/15","신청에 의한 상장폐지",,,"의약품","5000","220000",,
"444","031920","신민저축은행","KOSDAQ","주권","보통주","1996/12/23","2013/02/27","2반기 연속 자본잠식률 50%이상","2013/02/18","2013/02/26","금융","5000","2436000",,
